treatment	medium	dose_uM	plateID	timeID	cell_line	locationID	control	variable	value
DMSO	Starv_medium_1	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	E11_2	3	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	13.38651072
DMSO	Starv_medium_1	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	E12_1	3	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	10.40149856
DMSO	Starv_medium_1	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	E12_2	3	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	11.71936147
17B-estradiol	Starv_medium_1	1	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	E13_1	3	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	10.10147976
17B-estradiol	Starv_medium_1	1	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	E13_2	3	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	8.919003591
17B-estradiol	Starv_medium_1	1	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	E14_1	3	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	7.178227667
17B-estradiol	Starv_medium_1	1	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	E14_2	3	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	11.10090176
Medium	Starv_medium_2	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	F03_1	4	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	1.160136476
Medium	Starv_medium_2	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	F03_2	4	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	1.254351323
Medium	Starv_medium_2	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	F04_1	4	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	0.47926443
Medium	Starv_medium_2	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	F04_2	4	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	0.721867109
DMSO	Starv_medium_2	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	F05_1	4	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	0.57099882
DMSO	Starv_medium_2	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	F05_2	4	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	0.664894647
DMSO	Starv_medium_2	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	F06_1	4	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	0.631829223
DMSO	Starv_medium_2	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	F06_2	4	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	0.670382238
17B-estradiol	Starv_medium_2	1	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	F07_1	4	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	1.541863306
17B-estradiol	Starv_medium_2	1	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	F07_2	4	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	0.540406242
17B-estradiol	Starv_medium_2	1	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	F08_1	4	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	0.659334284
17B-estradiol	Starv_medium_2	1	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	F08_2	4	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	0.534954628
Medium	Starv_medium_2	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	F09_1	4	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	0.832032358
Medium	Starv_medium_2	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	F09_2	4	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	1.536007208
Medium	Starv_medium_2	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	F10_1	4	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	2.678454328
Medium	Starv_medium_2	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	F10_2	4	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	1.542773422
DMSO	Starv_medium_2	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	F11_1	4	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	0.80325391
DMSO	Starv_medium_2	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	F11_2	4	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	1.58187531
DMSO	Starv_medium_2	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	F12_1	4	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	0.845949563
DMSO	Starv_medium_2	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	F12_2	4	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	0.729370728
17B-estradiol	Starv_medium_2	1	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	F13_1	4	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	1.261980858
17B-estradiol	Starv_medium_2	1	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	F13_2	4	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	1.521863643
17B-estradiol	Starv_medium_2	1	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	F14_1	4	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	1.495976998
17B-estradiol	Starv_medium_2	1	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	F14_2	4	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	1.29540093
Medium	Comp_medium_NS	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	C03_1	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	2.99408891
Medium	Comp_medium_NS	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	C03_2	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	3.257608138
