"treatment"	"plateID"	"dose_uM"	"timeID"	"locationID"	"cell_line"	"variable"	"value"
"DMSO"	"20200220_Exp006_MT_t24"	0	"23"	"B02_2"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.1185722993814
"DMSO"	"20200220_Exp006_MT_t24"	0	"24"	"B02_2"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.13852626118865
"DMSO"	"20200220_Exp006_MT_t24"	0	"1"	"B03_1"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.54460051802714
"DMSO"	"20200220_Exp006_MT_t24"	0	"2"	"B03_1"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.59074128760077
"DMSO"	"20200220_Exp006_MT_t24"	0	"3"	"B03_1"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.61322102964231
"DMSO"	"20200220_Exp006_MT_t24"	0	"4"	"B03_1"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.55210617780729
"DMSO"	"20200220_Exp006_MT_t24"	0	"5"	"B03_1"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.41683043751208
"DMSO"	"20200220_Exp006_MT_t24"	0	"6"	"B03_1"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.40358164139816
"DMSO"	"20200220_Exp006_MT_t24"	0	"7"	"B03_1"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.24093299541789
"DMSO"	"20200220_Exp006_MT_t24"	0	"8"	"B03_1"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.14847821933782
"DMSO"	"20200220_Exp006_MT_t24"	0	"9"	"B03_1"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.13242252055214
