"treatment"	"plateID"	"dose_uM"	"timeID"	"cell_line"	"locationID"	"variable"	"value"
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"24"	"GREB1-GFP_mock"	"B02_2"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.12129280755791
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"1"	"GREB1-GFP_mock"	"B02_3"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	2.48527983381983
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"2"	"GREB1-GFP_mock"	"B02_3"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.74039670247862
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"3"	"GREB1-GFP_mock"	"B02_3"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.918883424040592
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"4"	"GREB1-GFP_mock"	"B02_3"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.15232452099564
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"5"	"GREB1-GFP_mock"	"B02_3"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.892797547892542
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"6"	"GREB1-GFP_mock"	"B02_3"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.727126596948762
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"7"	"GREB1-GFP_mock"	"B02_3"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.03130118040325
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"8"	"GREB1-GFP_mock"	"B02_3"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.888241315641632
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"9"	"GREB1-GFP_mock"	"B02_3"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.16882443646563
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"10"	"GREB1-GFP_mock"	"B02_3"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.01505217739166
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"11"	"GREB1-GFP_mock"	"B02_3"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.26340773756695
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"12"	"GREB1-GFP_mock"	"B02_3"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.05599234565143
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"13"	"GREB1-GFP_mock"	"B02_3"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.21829280743415
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"14"	"GREB1-GFP_mock"	"B02_3"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.21033654043789
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"15"	"GREB1-GFP_mock"	"B02_3"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.911575440834689
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"16"	"GREB1-GFP_mock"	"B02_3"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.1807366303982
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"17"	"GREB1-GFP_mock"	"B02_3"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.06338743521403
