"treatment"	"dose_uM"	"plateID"	"timeID"	"cell_line"	"locationID"	"variable"	"value"
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"19"	"GREB1-GFP_siESR1"	"B03_1"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	12.5179285582655
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"20"	"GREB1-GFP_siESR1"	"B03_1"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	11.9348152475112
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"21"	"GREB1-GFP_siESR1"	"B03_1"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	12.429322448931
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"22"	"GREB1-GFP_siESR1"	"B03_1"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	12.3104692496478
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"23"	"GREB1-GFP_siESR1"	"B03_1"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	12.2175708075536
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"24"	"GREB1-GFP_siESR1"	"B03_1"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	12.0288658961702
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"1"	"GREB1-GFP_siESR1"	"B03_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	15.7061363453474
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"2"	"GREB1-GFP_siESR1"	"B03_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	14.8292395478118
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"3"	"GREB1-GFP_siESR1"	"B03_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	15.1045021660455
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"4"	"GREB1-GFP_siESR1"	"B03_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	14.6392696154425
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"5"	"GREB1-GFP_siESR1"	"B03_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	14.91310200762
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"6"	"GREB1-GFP_siESR1"	"B03_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	14.2511866924025
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"7"	"GREB1-GFP_siESR1"	"B03_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	14.3553399697011
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"8"	"GREB1-GFP_siESR1"	"B03_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	13.6149372779613
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"9"	"GREB1-GFP_siESR1"	"B03_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	13.462033554888
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"10"	"GREB1-GFP_siESR1"	"B03_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	13.3124300015452
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"11"	"GREB1-GFP_siESR1"	"B03_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	12.7169165344132
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"12"	"GREB1-GFP_siESR1"	"B03_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	12.9380794695562
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"13"	"GREB1-GFP_siESR1"	"B03_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	12.9689705834489
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"14"	"GREB1-GFP_siESR1"	"B03_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	12.8343167824797
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"15"	"GREB1-GFP_siESR1"	"B03_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	13.1357125165277
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"16"	"GREB1-GFP_siESR1"	"B03_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	13.2492494189288
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"17"	"GREB1-GFP_siESR1"	"B03_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	12.7074183002444
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"18"	"GREB1-GFP_siESR1"	"B03_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	12.7589189908606
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"19"	"GREB1-GFP_siESR1"	"B03_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	12.5038347335853
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"20"	"GREB1-GFP_siESR1"	"B03_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	12.7356512855715
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"21"	"GREB1-GFP_siESR1"	"B03_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	12.4972474223338
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"22"	"GREB1-GFP_siESR1"	"B03_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	12.3834642596173
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"23"	"GREB1-GFP_siESR1"	"B03_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	12.5391944738353
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"24"	"GREB1-GFP_siESR1"	"B03_2"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	12.330390488764
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"1"	"GREB1-GFP_siGREB1"	"B04_1"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	9.44649136554012
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"2"	"GREB1-GFP_siGREB1"	"B04_1"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	9.39223225596747
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"3"	"GREB1-GFP_siGREB1"	"B04_1"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	9.57126686593978
